time	V(n001)	V(n004)	V(n008)
6.365457163370286e-004	5.000000e+000	3.113389e+000	0.000000e+000
6.465457163370287e-004	5.000000e+000	3.118115e+000	0.000000e+000
6.565457163370287e-004	5.000000e+000	3.122179e+000	0.000000e+000
6.665457163370287e-004	5.000000e+000	3.125709e+000	0.000000e+000
6.765457163370287e-004	5.000000e+000	3.128805e+000	0.000000e+000
6.865457163370288e-004	5.000000e+000	3.131542e+000	0.000000e+000
6.965457163370288e-004	5.000000e+000	3.133980e+000	0.000000e+000
7.065457163370288e-004	5.000000e+000	3.136164e+000	0.000000e+000
7.165457163370288e-004	5.000000e+000	3.138133e+000	0.000000e+000
7.265457163370289e-004	5.000000e+000	3.139916e+000	0.000000e+000
7.365457163370289e-004	5.000000e+000	3.141539e+000	0.000000e+000
7.465457163370289e-004	5.000000e+000	3.143023e+000	0.000000e+000
7.565457163370289e-004	5.000000e+000	3.144384e+000	0.000000e+000
7.665457163370290e-004	5.000000e+000	3.145638e+000	0.000000e+000
7.765457163370290e-004	5.000000e+000	3.146796e+000	0.000000e+000
7.865457163370290e-004	5.000000e+000	3.147869e+000	0.000000e+000
7.965457163370290e-004	5.000000e+000	3.148866e+000	0.000000e+000
8.065457163370291e-004	5.000000e+000	3.149795e+000	0.000000e+000
8.165457163370291e-004	5.000000e+000	3.150662e+000	0.000000e+000
8.265457163370291e-004	5.000000e+000	3.151474e+000	0.000000e+000
8.365457163370291e-004	5.000000e+000	3.152236e+000	0.000000e+000
8.465457163370292e-004	5.000000e+000	3.152952e+000	0.000000e+000
8.565457163370292e-004	5.000000e+000	3.153626e+000	0.000000e+000
8.665457163370292e-004	5.000000e+000	3.154262e+000	0.000000e+000
8.765457163370293e-004	5.000000e+000	3.154862e+000	0.000000e+000
8.865457163370293e-004	5.000000e+000	3.155431e+000	0.000000e+000
8.965457163370293e-004	5.000000e+000	3.155969e+000	0.000000e+000
9.065457163370293e-004	5.000000e+000	3.156481e+000	0.000000e+000
9.165457163370294e-004	5.000000e+000	3.156966e+000	0.000000e+000
9.265457163370294e-004	5.000000e+000	3.157429e+000	0.000000e+000
9.365457163370294e-004	5.000000e+000	3.157869e+000	0.000000e+000
9.465457163370294e-004	5.000000e+000	3.158289e+000	0.000000e+000
9.565457163370295e-004	5.000000e+000	3.158690e+000	0.000000e+000
9.665457163370295e-004	5.000000e+000	3.159073e+000	0.000000e+000
9.765457163370295e-004	5.000000e+000	3.159440e+000	0.000000e+000
9.865457163370295e-004	5.000000e+000	3.159793e+000	0.000000e+000
9.900000000000000e-004	5.000000e+000	3.159912e+000	0.000000e+000
9.952685386075272e-004	5.000000e+000	3.160089e+000	0.000000e+000
9.970971920887093e-004	5.000000e+000	3.160149e+000	0.000000e+000
1.000000000000000e-003	5.000000e+000	3.160244e+000	0.000000e+000
1.000017121158233e-003	5.000000e+000	3.160244e+000	8.560579e-003
1.000051363474700e-003	5.000000e+000	3.160245e+000	2.568174e-002
1.000110945680726e-003	5.000000e+000	3.160247e+000	5.547284e-002
1.000172434012156e-003	5.000000e+000	3.160249e+000	8.621701e-002
1.000295410675017e-003	5.000000e+000	3.160253e+000	1.477053e-001
1.000541364000740e-003	5.000000e+000	3.160261e+000	2.706820e-001
1.000827925687467e-003	5.000000e+000	3.160270e+000	4.139628e-001
1.001021749515515e-003	5.000000e+000	3.160277e+000	5.108747e-001
1.001144833002282e-003	5.000000e+000	3.160281e+000	5.724165e-001
1.001267685544186e-003	5.000000e+000	3.160285e+000	6.338428e-001
1.001288929893100e-003	5.000000e+000	3.160285e+000	6.444650e-001
1.001313337735997e-003	5.000000e+000	3.160286e+000	6.566688e-001
1.001468817655494e-003	5.000000e+000	3.160291e+000	7.344088e-001
1.001624297574992e-003	5.000000e+000	3.160296e+000	8.121488e-001
1.001779777494490e-003	5.000000e+000	3.160301e+000	8.898888e-001
1.001935257413987e-003	5.000000e+000	3.160306e+000	9.676287e-001
1.002090737333485e-003	5.000000e+000	3.160311e+000	1.045369e+000
1.002246217252983e-003	5.000000e+000	3.160316e+000	1.123109e+000
1.002401697172480e-003	5.000000e+000	3.160321e+000	1.200849e+000
1.002846869514014e-003	5.000000e+000	3.160334e+000	1.423435e+000
1.003676893709592e-003	5.000000e+000	3.154380e+000	1.838447e+000
1.004929935216152e-003	5.000000e+000	3.104266e+000	2.464967e+000
1.006183762351392e-003	5.000000e+000	2.933994e+000	3.091881e+000
1.007946472435660e-003	5.000000e+000	2.497874e+000	3.973236e+000
