time	V(n001)	V(n006)	V(n011)
9.765457163370295e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.865457163370295e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.900000000000000e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.952685386075272e-004	5.000000e+000	0.000000e+000	5.000000e+000
9.970971920887093e-004	5.000000e+000	0.000000e+000	5.000000e+000
1.000000000000000e-003	5.000000e+000	0.000000e+000	5.000000e+000
1.000017121158233e-003	5.000000e+000	8.560579e-003	5.000000e+000
1.000051363474700e-003	5.000000e+000	2.568174e-002	5.000000e+000
1.000110945680726e-003	5.000000e+000	5.547284e-002	5.000000e+000
1.000172434012156e-003	5.000000e+000	8.621701e-002	5.000000e+000
1.000295410675017e-003	5.000000e+000	1.477053e-001	5.000000e+000
1.000541364000740e-003	5.000000e+000	2.706820e-001	5.000000e+000
1.000827925687467e-003	5.000000e+000	4.139628e-001	5.000000e+000
1.001021749515515e-003	5.000000e+000	5.108747e-001	5.000000e+000
1.001144833002282e-003	5.000000e+000	5.724165e-001	5.000000e+000
1.001267685544186e-003	5.000000e+000	6.338428e-001	5.000000e+000
1.001288929893100e-003	5.000000e+000	6.444650e-001	5.000000e+000
1.001313337735997e-003	5.000000e+000	6.566688e-001	5.000000e+000
1.001468817655494e-003	5.000000e+000	7.344088e-001	5.000000e+000
1.001624297574992e-003	5.000000e+000	8.121488e-001	5.000000e+000
1.001779777494490e-003	5.000000e+000	8.898888e-001	5.000000e+000
1.001935257413987e-003	5.000000e+000	9.676287e-001	5.000000e+000
1.002090737333485e-003	5.000000e+000	1.045369e+000	5.000000e+000
1.002246217252983e-003	5.000000e+000	1.123109e+000	5.000000e+000
1.002401697172480e-003	5.000000e+000	1.200849e+000	5.000000e+000
1.002846869514014e-003	5.000000e+000	1.423435e+000	4.999998e+000
1.003676893709592e-003	5.000000e+000	1.838447e+000	4.993988e+000
1.004929935216152e-003	5.000000e+000	2.464967e+000	4.943072e+000
1.006183762351392e-003	5.000000e+000	3.091881e+000	4.761241e+000
1.007946472435660e-003	5.000000e+000	3.973236e+000	4.282362e+000
1.008153302549521e-003	5.000000e+000	4.076651e+000	4.198154e+000
1.008566962777242e-003	5.000000e+000	4.283482e+000	3.977585e+000
1.009172679544557e-003	5.000000e+000	4.586340e+000	3.596488e+000
1.010000000000000e-003	5.000000e+000	5.000000e+000	3.006596e+000
1.010082732045544e-003	5.000000e+000	5.000000e+000	2.940773e+000
1.010248196136633e-003	5.000000e+000	5.000000e+000	2.811410e+000
1.010579124318810e-003	5.000000e+000	5.000000e+000	2.561234e+000
1.010902295685923e-003	5.000000e+000	5.000000e+000	2.332440e+000
1.011548638420150e-003	5.000000e+000	5.000000e+000	1.933041e+000
1.012841323888603e-003	5.000000e+000	5.000000e+000	1.289126e+000
1.014111594462631e-003	5.000000e+000	5.000000e+000	8.250340e-001
1.015319429508688e-003	5.000000e+000	5.000000e+000	5.268676e-001
1.016359595437125e-003	5.000000e+000	5.000000e+000	3.548897e-001
1.017375030680134e-003	5.000000e+000	5.000000e+000	2.423285e-001
1.018488788219027e-003	5.000000e+000	5.000000e+000	1.587042e-001
1.019523992724865e-003	5.000000e+000	5.000000e+000	1.063660e-001
1.020573976193287e-003	5.000000e+000	5.000000e+000	7.091748e-002
1.021568512498044e-003	5.000000e+000	5.000000e+000	4.826024e-002
1.022592206948545e-003	5.000000e+000	5.000000e+000	3.251226e-002
1.023587707936561e-003	5.000000e+000	5.000000e+000	2.211619e-002
1.024604367308687e-003	5.000000e+000	5.000000e+000	1.492840e-002
1.025599696937528e-003	5.000000e+000	5.000000e+000	1.015214e-002
1.026609916273950e-003	5.000000e+000	5.000000e+000	6.867563e-003
1.027605734812691e-003	5.000000e+000	5.000000e+000	4.669361e-003
